"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","888","Credits page loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/account-pages.spec.ts","",""
"","976","Home page navigates to Classic","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","1555","robots.txt is served as a valid crawler policy","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","7441","account deletion confirmation requires the emailed single-use link","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","7129","protected account routes redirect anonymous users to login","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","2035","Registration page exposes account fields","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","1887","Emoji screen loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/emoji.spec.ts","",""
"","324","mobile navigation menu exposes site links","firefox","2026-08-30","skipped","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","846","Classic exposes Normal and Challenge difficulties","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/classic.spec.ts","",""
"","7612","disabled user receives a restricted session with the disable reason","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/disabled-account.spec.ts","",""
"","7265","Password login reaches the profile","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/password-login.spec.ts","",""
"","7631","active users cannot access the account-disabled page","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","894","Timeline screen loads with difficulty navigation","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/timeline.spec.ts","",""
"","926","Home page exposes both playable game modes","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","1014","Profile page loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/account-pages.spec.ts","",""
"","7535","authenticated user can access the issue report form","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","6528","Classic accepts keyboard input","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/classic.spec.ts","",""
"","7839","Hardcore account can open the Hardcore game","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/hardcore-access.spec.ts","",""
"","1582","Login page exposes password sign-in","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","1761","Cookie consent requires an explicit choice","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/cookie-consent.spec.ts","",""
"","1972","Timeline keeps submission disabled until every slot is filled","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/timeline.spec.ts","",""
"","1749","Classic screen loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/classic.spec.ts","",""
"","945","Emoji exposes clues and a guess control","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/emoji.spec.ts","",""
"","2290","Privacy page loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/account-pages.spec.ts","",""
"","7546","authenticated user can access the password reset page","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","6634","Timeline supports arranging, positional feedback, retrying, and winning","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/timeline.spec.ts","",""
"","1244","Emoji accepts keyboard input","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/emoji.spec.ts","",""
"","927","Classic exposes its category navigation","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/classic.spec.ts","",""
"","1059","Home page navigates to Emoji","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
