"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1212","Home page exposes both playable game modes","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","11142","Privacy page loads","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/account-pages.spec.ts","",""
"","1804","Emoji accepts keyboard input","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/emoji.spec.ts","",""
"","7167","account deletion confirmation requires the emailed single-use link","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","2476","Login page exposes password sign-in","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","7382","authenticated user can access the issue report form","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","3213","Password login reaches the profile","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/password-login.spec.ts","",""
"","30349","Classic accepts keyboard input","chromium","2026-08-31","broken","2026-08-31","","specs/e2e/classic.spec.ts","",""
"","2008","Credits page loads","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/account-pages.spec.ts","",""
"","2772","Classic screen loads","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/classic.spec.ts","",""
"","2863","Profile page loads","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/account-pages.spec.ts","",""
"","1704","Timeline keeps submission disabled until every slot is filled","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/timeline.spec.ts","",""
"","7372","active users cannot access the account-disabled page","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","2471","Registration page exposes account fields","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","1802","Classic exposes its category navigation","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/classic.spec.ts","",""
"","1644","global Timeline leaderboard exposes every ranking","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/timeline-leaderboard.spec.ts","",""
"","871","Home page navigates to Emoji","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","11307","authenticated user can access the password reset page","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","945","dated Timeline leaderboard links back to global rankings","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/timeline-leaderboard.spec.ts","",""
"","1586","Home page navigates to Classic","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","1146","Classic exposes Normal and Challenge difficulties","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/classic.spec.ts","",""
"","7726","Hardcore account can open the Hardcore game","chromium","2026-08-31","failed","2026-08-31","","specs/e2e/hardcore-access.spec.ts","",""
"","7657","Timeline supports arranging, positional feedback, retrying, and winning","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/timeline.spec.ts","",""
"","1027","robots.txt is served as a valid crawler policy","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","1841","Emoji screen loads","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/emoji.spec.ts","",""
"","2018","Timeline screen loads with difficulty navigation","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/timeline.spec.ts","",""
"","5309","disabled user receives a restricted session with the disable reason","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/disabled-account.spec.ts","",""
"","3366","Emoji exposes clues and a guess control","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/emoji.spec.ts","",""
"","1811","Cookie consent requires an explicit choice","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/cookie-consent.spec.ts","",""
"","146","mobile navigation menu exposes site links","chromium","2026-08-31","skipped","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","7479","protected account routes redirect anonymous users to login","chromium","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
