"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","596","Issue report form is available without submitting an issue","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/account-pages.spec.ts","",""
"","5625","disabled user receives a restricted session with the disable reason","mobile-chromium","2026-08-24","failed","2026-08-24","","specs/e2e/disabled-account.spec.ts","",""
"","1166","robots.txt is served as a valid crawler policy","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","2063","Emoji game is marked in progress","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/classic.spec.ts","",""
"","551","Classic screen loads","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/classic.spec.ts","",""
"","5553","disabled user receives a restricted session with the disable reason","chromium","2026-08-24","failed","2026-08-24","","specs/e2e/disabled-account.spec.ts","",""
"","769","Registration page exposes account fields","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","5701","Password login reaches the profile","mobile-chromium","2026-08-24","failed","2026-08-24","","specs/e2e/password-login.spec.ts","",""
"","5849","Hardcore account can open the Hardcore game","chromium","2026-08-24","failed","2026-08-24","","specs/e2e/hardcore-access.spec.ts","",""
"","600","Home page exposes both playable game modes","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","5540","active users cannot access the account-disabled page","chromium","2026-08-24","failed","2026-08-24","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","1290","Credits page loads","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/account-pages.spec.ts","",""
"","899","Home page navigates to Classic","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","557","Profile page loads","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/account-pages.spec.ts","",""
"","6334","protected account routes redirect anonymous users to login","chromium","2026-08-24","failed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","4024","Classic screen loads","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/classic.spec.ts","",""
"","1340","Cookie consent requires an explicit choice","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/cookie-consent.spec.ts","",""
"","688","Emoji game is marked in progress","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/classic.spec.ts","",""
"","794","Home page navigates to Emoji Clues","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","5633","active users cannot access the account-disabled page","mobile-chromium","2026-08-24","failed","2026-08-24","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5509","Password login reaches the profile","chromium","2026-08-24","failed","2026-08-24","","specs/e2e/password-login.spec.ts","",""
"","891","Home page navigates to Emoji Clues","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","639","Privacy page loads","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/account-pages.spec.ts","",""
"","5649","authenticated user can access the password reset page","chromium","2026-08-24","failed","2026-08-24","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5555","authenticated user can access the password reset page","mobile-chromium","2026-08-24","failed","2026-08-24","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","763","Home page navigates to Classic","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","1929","Login page exposes password sign-in","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","2347","Profile page loads","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/account-pages.spec.ts","",""
"","1932","Issue report form is available without submitting an issue","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/account-pages.spec.ts","",""
"","7030","protected account routes redirect anonymous users to login","mobile-chromium","2026-08-24","failed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","5573","account deletion confirmation requires the emailed single-use link","mobile-chromium","2026-08-24","failed","2026-08-24","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","3315","Privacy page loads","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/account-pages.spec.ts","",""
"","1787","Registration page exposes account fields","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","5548","account deletion confirmation requires the emailed single-use link","chromium","2026-08-24","failed","2026-08-24","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5937","Hardcore account can open the Hardcore game","mobile-chromium","2026-08-24","failed","2026-08-24","","specs/e2e/hardcore-access.spec.ts","",""
"","591","Login page exposes password sign-in","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","639","Cookie consent requires an explicit choice","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/cookie-consent.spec.ts","",""
"","868","Credits page loads","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/account-pages.spec.ts","",""
"","220","mobile navigation menu exposes site links","chromium","2026-08-24","skipped","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","6014","mobile navigation menu exposes site links","mobile-chromium","2026-08-24","failed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","669","robots.txt is served as a valid crawler policy","mobile-chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
"","674","Home page exposes both playable game modes","chromium","2026-08-24","passed","2026-08-24","","specs/e2e/public-pages.spec.ts","",""
