"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5718","Password login reaches the profile","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/password-login.spec.ts","",""
"","731","Emoji game is marked in progress","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","714","Profile page loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","687","Home page navigates to Classic","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1009","Credits page loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","712","Home page exposes both playable game modes","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5707","authenticated user can access the password reset page","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5825","disabled user receives a restricted session with the disable reason","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/disabled-account.spec.ts","",""
"","6314","protected account routes redirect anonymous users to login","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1955","Credits page loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","638","Cookie consent requires an explicit choice","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/cookie-consent.spec.ts","",""
"","5671","authenticated user can access the issue report form","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","724","Home page navigates to Emoji","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","6066","Hardcore account can open the Hardcore game","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/hardcore-access.spec.ts","",""
"","5707","active users cannot access the account-disabled page","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5664","account deletion confirmation requires the emailed single-use link","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","687","Home page navigates to Emoji","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1791","Profile page loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","744","robots.txt is served as a valid crawler policy","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","701","Classic screen loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","755","Privacy page loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","5971","mobile navigation menu exposes site links","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","6466","protected account routes redirect anonymous users to login","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5603","Password login reaches the profile","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/password-login.spec.ts","",""
"","1313","Login page exposes password sign-in","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5681","account deletion confirmation requires the emailed single-use link","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","774","robots.txt is served as a valid crawler policy","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1330","Emoji game is marked in progress","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","9651","Timeline supports arranging, positional feedback, retrying, and winning","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/timeline.spec.ts","",""
"","734","Cookie consent requires an explicit choice","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/cookie-consent.spec.ts","",""
"","1286","Classic screen loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","5698","authenticated user can access the password reset page","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5976","Hardcore account can open the Hardcore game","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/hardcore-access.spec.ts","",""
"","2927","Privacy page loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","2640","Timeline supports arranging, positional feedback, retrying, and winning","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/timeline.spec.ts","",""
"","728","Registration page exposes account fields","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5670","active users cannot access the account-disabled page","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5679","authenticated user can access the issue report form","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","648","Home page exposes both playable game modes","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1385","Registration page exposes account fields","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5677","disabled user receives a restricted session with the disable reason","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/disabled-account.spec.ts","",""
"","681","Login page exposes password sign-in","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","216","mobile navigation menu exposes site links","chromium","2026-08-27","skipped","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","738","Home page navigates to Classic","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
