"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1749","robots.txt is served as a valid crawler policy","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","1761","Emoji screen loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/emoji.spec.ts","",""
"","981","Home page navigates to Emoji","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","7070","Password login reaches the profile","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/password-login.spec.ts","",""
"","1611","Profile page loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/account-pages.spec.ts","",""
"","1594","Timeline screen loads with difficulty navigation","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/timeline.spec.ts","",""
"","2394","Registration page exposes account fields","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","7475","active users cannot access the account-disabled page","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","7453","disabled user receives a restricted session with the disable reason","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/disabled-account.spec.ts","",""
"","1598","Login page exposes password sign-in","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","1897","Cookie consent requires an explicit choice","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/cookie-consent.spec.ts","",""
"","6511","Classic accepts keyboard input","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/classic.spec.ts","",""
"","929","Home page exposes both playable game modes","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","7725","Timeline supports arranging, positional feedback, retrying, and winning","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/timeline.spec.ts","",""
"","7225","protected account routes redirect anonymous users to login","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","955","Home page navigates to Classic","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","8191","authenticated user can access the issue report form","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","300","mobile navigation menu exposes site links","firefox","2026-08-30","skipped","2026-08-30","","specs/e2e/public-pages.spec.ts","",""
"","1764","Classic screen loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/classic.spec.ts","",""
"","1946","Credits page loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/account-pages.spec.ts","",""
"","952","Classic exposes Normal and Challenge difficulties","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/classic.spec.ts","",""
"","6730","Timeline keeps submission disabled until every slot is filled","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/timeline.spec.ts","",""
"","1761","Emoji exposes clues and a guess control","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/emoji.spec.ts","",""
"","7599","authenticated user can access the password reset page","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","3601","Privacy page loads","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/account-pages.spec.ts","",""
"","7832","Hardcore account can open the Hardcore game","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/hardcore-access.spec.ts","",""
"","2039","Emoji accepts keyboard input","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/emoji.spec.ts","",""
"","1400","Classic exposes its category navigation","firefox","2026-08-30","passed","2026-08-30","","specs/e2e/classic.spec.ts","",""
"","7501","account deletion confirmation requires the emailed single-use link","firefox","2026-08-30","failed","2026-08-30","","specs/e2e/authenticated/account-routes.spec.ts","",""
