"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6255","account deletion confirmation requires the emailed single-use link","mobile-chromium","2026-08-22","failed","2026-08-22","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","774","robots.txt is served as a valid crawler policy","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","7014","protected account routes redirect anonymous users to login","chromium","2026-08-22","failed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1005","Profile page loads","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/account-pages.spec.ts","",""
"","994","Privacy page loads","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/account-pages.spec.ts","",""
"","5846","account deletion confirmation requires the emailed single-use link","chromium","2026-08-22","failed","2026-08-22","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","799","Home page exposes both playable game modes","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1004","Credits page loads","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/account-pages.spec.ts","",""
"","839","Home page exposes both playable game modes","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1139","Cookie consent requires an explicit choice","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/cookie-consent.spec.ts","",""
"","5759","authenticated user can access the account-disabled page","mobile-chromium","2026-08-22","failed","2026-08-22","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5164","robots.txt is served as a valid crawler policy","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1055","Home page navigates to Emoji Clues","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","5840","Password login reaches the profile","mobile-chromium","2026-08-22","failed","2026-08-22","","specs/e2e/password-login.spec.ts","",""
"","6981","protected account routes redirect anonymous users to login","mobile-chromium","2026-08-22","failed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1764","Classic screen loads","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/classic.spec.ts","",""
"","1052","Home page navigates to Classic","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1755","Credits page loads","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/account-pages.spec.ts","",""
"","910","Emoji game is marked in progress","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/classic.spec.ts","",""
"","1047","Login page exposes password sign-in","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","693","Cookie consent requires an explicit choice","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/cookie-consent.spec.ts","",""
"","3129","Privacy page loads","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/account-pages.spec.ts","",""
"","1568","Profile page loads","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/account-pages.spec.ts","",""
"","623","Classic screen loads","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/classic.spec.ts","",""
"","5772","authenticated user can access the password reset page","chromium","2026-08-22","failed","2026-08-22","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","1415","Issue report form is available without submitting an issue","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/account-pages.spec.ts","",""
"","1448","Home page navigates to Classic","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1943","Emoji game is marked in progress","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/classic.spec.ts","",""
"","5774","authenticated user can access the account-disabled page","chromium","2026-08-22","failed","2026-08-22","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5767","authenticated user can access the password reset page","mobile-chromium","2026-08-22","failed","2026-08-22","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5825","Password login reaches the profile","chromium","2026-08-22","failed","2026-08-22","","specs/e2e/password-login.spec.ts","",""
"","990","Registration page exposes account fields","mobile-chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","3086","Registration page exposes account fields","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1852","Login page exposes password sign-in","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","937","Home page navigates to Emoji Clues","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/public-pages.spec.ts","",""
"","1831","Issue report form is available without submitting an issue","chromium","2026-08-22","passed","2026-08-22","","specs/e2e/account-pages.spec.ts","",""
