"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5748","authenticated user can access the password reset page","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","788","Cookie consent requires an explicit choice","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/cookie-consent.spec.ts","",""
"","666","mobile navigation menu exposes site links","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","778","Privacy page loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","572","Home page exposes both playable game modes","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","794","Profile page loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","728","Home page navigates to Emoji","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5676","Password login reaches the profile","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/password-login.spec.ts","",""
"","30284","Timeline supports arranging, positional feedback, retrying, and winning","mobile-chromium","2026-08-27","broken","2026-08-27","","specs/e2e/timeline.spec.ts","",""
"","627","Home page exposes both playable game modes","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1626","Emoji game is marked in progress","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","5701","active users cannot access the account-disabled page","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5696","disabled user receives a restricted session with the disable reason","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/disabled-account.spec.ts","",""
"","6517","protected account routes redirect anonymous users to login","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1662","Classic screen loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","1320","Profile page loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","850","Registration page exposes account fields","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1682","Credits page loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","1044","robots.txt is served as a valid crawler policy","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","761","Credits page loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","642","Cookie consent requires an explicit choice","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/cookie-consent.spec.ts","",""
"","5800","authenticated user can access the issue report form","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","897","Classic screen loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","623","Home page navigates to Emoji","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","214","mobile navigation menu exposes site links","chromium","2026-08-27","skipped","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","731","Home page navigates to Classic","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1462","Registration page exposes account fields","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","6135","Hardcore account can open the Hardcore game","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/hardcore-access.spec.ts","",""
"","5980","account deletion confirmation requires the emailed single-use link","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","1399","Login page exposes password sign-in","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","697","robots.txt is served as a valid crawler policy","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1876","Privacy page loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","6352","protected account routes redirect anonymous users to login","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5827","Password login reaches the profile","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/password-login.spec.ts","",""
"","5695","active users cannot access the account-disabled page","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","30291","Timeline supports arranging, positional feedback, retrying, and winning","chromium","2026-08-27","broken","2026-08-27","","specs/e2e/timeline.spec.ts","",""
"","5748","account deletion confirmation requires the emailed single-use link","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5985","Hardcore account can open the Hardcore game","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/hardcore-access.spec.ts","",""
"","5758","authenticated user can access the issue report form","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","853","Login page exposes password sign-in","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","793","Emoji game is marked in progress","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","5837","disabled user receives a restricted session with the disable reason","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/disabled-account.spec.ts","",""
"","5804","authenticated user can access the password reset page","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","671","Home page navigates to Classic","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
