"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5711","disabled user receives a restricted session with the disable reason","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/disabled-account.spec.ts","",""
"","629","Home page exposes both playable game modes","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","912","Registration page exposes account fields","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","699","robots.txt is served as a valid crawler policy","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","6167","Hardcore account can open the Hardcore game","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/hardcore-access.spec.ts","",""
"","756","Login page exposes password sign-in","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","6190","Hardcore account can open the Hardcore game","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/hardcore-access.spec.ts","",""
"","881","Emoji game is marked in progress","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/classic.spec.ts","",""
"","1813","Credits page loads","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","5763","Password login reaches the profile","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/password-login.spec.ts","",""
"","1854","Profile page loads","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","737","Home page navigates to Classic","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","824","Profile page loads","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","1380","Emoji game is marked in progress","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/classic.spec.ts","",""
"","221","mobile navigation menu exposes site links","chromium","2026-08-23","skipped","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","2336","Classic screen loads","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/classic.spec.ts","",""
"","1470","Login page exposes password sign-in","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","5788","Password login reaches the profile","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/password-login.spec.ts","",""
"","764","Home page navigates to Emoji Clues","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","745","Cookie consent requires an explicit choice","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/cookie-consent.spec.ts","",""
"","5765","authenticated user can access the password reset page","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5751","account deletion confirmation requires the emailed single-use link","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","3016","Privacy page loads","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","5737","authenticated user can access the password reset page","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","1469","Issue report form is available without submitting an issue","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","707","Home page navigates to Classic","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","6763","protected account routes redirect anonymous users to login","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","828","Home page navigates to Emoji Clues","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","1237","robots.txt is served as a valid crawler policy","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","698","Cookie consent requires an explicit choice","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/cookie-consent.spec.ts","",""
"","6390","active users cannot access the account-disabled page","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5991","mobile navigation menu exposes site links","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","811","Credits page loads","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","789","Issue report form is available without submitting an issue","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","6702","protected account routes redirect anonymous users to login","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","5798","active users cannot access the account-disabled page","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5670","disabled user receives a restricted session with the disable reason","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/disabled-account.spec.ts","",""
"","5853","account deletion confirmation requires the emailed single-use link","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","1477","Registration page exposes account fields","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","837","Classic screen loads","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/classic.spec.ts","",""
"","802","Privacy page loads","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","678","Home page exposes both playable game modes","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
