"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1174","global Timeline leaderboard exposes every ranking","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/timeline-leaderboard.spec.ts","",""
"","2398","dated Timeline leaderboard links back to global rankings","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/timeline-leaderboard.spec.ts","",""
"","1674","Registration page exposes account fields","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","2938","protected account routes redirect anonymous users to login","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","320","mobile navigation menu exposes site links","firefox","2026-08-31","skipped","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","3238","disabled user receives a restricted session with the disable reason","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/disabled-account.spec.ts","",""
"","997","Home page exposes both playable game modes","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","1829","Classic screen loads","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/classic.spec.ts","",""
"","4129","authenticated user can access the password reset page","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","8157","Timeline supports arranging, positional feedback, retrying, and winning","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/timeline.spec.ts","",""
"","1700","Login page exposes password sign-in","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","945","Profile page loads","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/account-pages.spec.ts","",""
"","1061","Classic exposes Normal and Challenge difficulties","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/classic.spec.ts","",""
"","1194","Timeline screen loads with difficulty navigation","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/timeline.spec.ts","",""
"","7580","account deletion confirmation requires the emailed single-use link","firefox","2026-08-31","failed","2026-08-31","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","2258","Privacy page loads","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/account-pages.spec.ts","",""
"","31643","Classic accepts keyboard input","firefox","2026-08-31","broken","2026-08-31","","specs/e2e/classic.spec.ts","",""
"","1140","Home page navigates to Emoji","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","1528","robots.txt is served as a valid crawler policy","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","1016","Classic exposes its category navigation","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/classic.spec.ts","",""
"","1286","Timeline keeps submission disabled until every slot is filled","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/timeline.spec.ts","",""
"","8052","Hardcore account can open the Hardcore game","firefox","2026-08-31","failed","2026-08-31","","specs/e2e/hardcore-access.spec.ts","",""
"","7710","Password login reaches the profile","firefox","2026-08-31","failed","2026-08-31","","specs/e2e/password-login.spec.ts","",""
"","1443","Emoji accepts keyboard input","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/emoji.spec.ts","",""
"","929","Emoji screen loads","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/emoji.spec.ts","",""
"","1071","Home page navigates to Classic","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/public-pages.spec.ts","",""
"","1963","Cookie consent requires an explicit choice","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/cookie-consent.spec.ts","",""
"","1000","Emoji exposes clues and a guess control","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/emoji.spec.ts","",""
"","7573","active users cannot access the account-disabled page","firefox","2026-08-31","failed","2026-08-31","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","4183","authenticated user can access the issue report form","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","918","Credits page loads","firefox","2026-08-31","passed","2026-08-31","","specs/e2e/account-pages.spec.ts","",""
