"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1313","robots.txt is served as a valid crawler policy","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","694","Registration page exposes account fields","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","5644","disabled user receives a restricted session with the disable reason","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/disabled-account.spec.ts","",""
"","2758","Privacy page loads","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","5626","account deletion confirmation requires the emailed single-use link","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","661","robots.txt is served as a valid crawler policy","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","5688","Password login reaches the profile","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/password-login.spec.ts","",""
"","5591","authenticated user can access the password reset page","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","774","Emoji game is marked in progress","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/classic.spec.ts","",""
"","152","mobile navigation menu exposes site links","chromium","2026-08-23","skipped","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","1697","Emoji game is marked in progress","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/classic.spec.ts","",""
"","6108","protected account routes redirect anonymous users to login","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","5914","disabled user receives a restricted session with the disable reason","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/disabled-account.spec.ts","",""
"","620","Cookie consent requires an explicit choice","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/cookie-consent.spec.ts","",""
"","5870","Hardcore account can open the Hardcore game","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/hardcore-access.spec.ts","",""
"","673","Login page exposes password sign-in","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","6327","active users cannot access the account-disabled page","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","6212","protected account routes redirect anonymous users to login","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","2197","Classic screen loads","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/classic.spec.ts","",""
"","566","Home page navigates to Emoji Clues","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","1112","Cookie consent requires an explicit choice","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/cookie-consent.spec.ts","",""
"","554","Home page navigates to Classic","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","503","Home page exposes both playable game modes","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","1787","Issue report form is available without submitting an issue","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","548","Classic screen loads","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/classic.spec.ts","",""
"","5601","active users cannot access the account-disabled page","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","1992","Registration page exposes account fields","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","606","Issue report form is available without submitting an issue","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","5584","account deletion confirmation requires the emailed single-use link","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","658","Credits page loads","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","1742","Credits page loads","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","591","Home page navigates to Emoji Clues","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","533","Home page navigates to Classic","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","822","Profile page loads","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","1690","Profile page loads","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","794","Privacy page loads","mobile-chromium","2026-08-23","passed","2026-08-23","","specs/e2e/account-pages.spec.ts","",""
"","499","Home page exposes both playable game modes","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","5636","Password login reaches the profile","chromium","2026-08-23","failed","2026-08-23","","specs/e2e/password-login.spec.ts","",""
"","5722","mobile navigation menu exposes site links","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
"","5619","authenticated user can access the password reset page","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","5915","Hardcore account can open the Hardcore game","mobile-chromium","2026-08-23","failed","2026-08-23","","specs/e2e/hardcore-access.spec.ts","",""
"","1237","Login page exposes password sign-in","chromium","2026-08-23","passed","2026-08-23","","specs/e2e/public-pages.spec.ts","",""
