"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","643","Cookie consent requires an explicit choice","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/cookie-consent.spec.ts","",""
"","5533","authenticated user can access the password reset page","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","1390","Registration page exposes account fields","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","686","Home page navigates to Emoji","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1039","Privacy page loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","722","Home page navigates to Emoji","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","1100","Home page navigates to Classic","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","593","Emoji game is marked in progress","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","5546","active users cannot access the account-disabled page","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","1455","Login page exposes password sign-in","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5777","Hardcore account can open the Hardcore game","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/hardcore-access.spec.ts","",""
"","716","Classic screen loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/classic.spec.ts","",""
"","11687","Timeline supports arranging, positional feedback, retrying, and winning","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/timeline.spec.ts","",""
"","5619","authenticated user can access the issue report form","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","678","robots.txt is served as a valid crawler policy","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5809","Hardcore account can open the Hardcore game","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/hardcore-access.spec.ts","",""
"","652","Home page exposes both playable game modes","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5551","active users cannot access the account-disabled page","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","620","Credits page loads","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","712","Login page exposes password sign-in","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","5543","Password login reaches the profile","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/password-login.spec.ts","",""
"","7002","protected account routes redirect anonymous users to login","chromium","2026-08-27","failed","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
"","2054","Credits page loads","chromium","2026-08-27","passed","2026-08-27","","specs/e2e/account-pages.spec.ts","",""
"","5616","authenticated user can access the issue report form","mobile-chromium","2026-08-27","failed","2026-08-27","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","660","Cookie consent requires an explicit choice","mobile-chromium","2026-08-27","passed","2026-08-27","","specs/e2e/cookie-consent.spec.ts","",""
"","214","mobile navigation menu exposes site links","chromium","2026-08-27","skipped","2026-08-27","","specs/e2e/public-pages.spec.ts","",""
