"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","production API health is available with its health key","production-api","2026-08-27","failed","2026-08-27","","specs/api/public-api.spec.ts","",""
"","53","normal account can access public game modes but not unlock Hardcore","production-api","2026-08-27","failed","2026-08-27","","specs/api/public-api.spec.ts","",""
"","63","Hardcore account can load the Hardcore game","production-api","2026-08-27","failed","2026-08-27","","specs/api/public-api.spec.ts","",""
"","76","deactivated account cannot obtain an access token","production-api","2026-08-27","failed","2026-08-27","","specs/api/public-api.spec.ts","",""
